model,MAE,RMSE,R2
Gradient Boosting,239.90482382177711,471.51189548342217,0.9964966659518426
Random Forest,238.13332146908556,497.89664339730354,0.9960936186367837
Linear Regression,478.0782935049847,718.4185925305294,0.9918669888270946
